id,category,topic,difficulty,image,question,expected,predicted,raw_output,correct
N-01,normal,people,easy,000000397133.jpg,Is there a person in this image?,yes,yes,question: is there a person in this image? answer: yes,True
N-02,normal,indoor,easy,000000037777.jpg,Is there a table in this image?,yes,yes,"question: is there a table in this image? answer: yes, there is a table in this image",True
N-03,normal,people,easy,000000252219.jpg,Is there a person walking in this image?,yes,yes,question: is there a person walking in this image? answer: yes,True
N-04,normal,outdoor,easy,000000087038.jpg,Is this an outdoor recreational area?,yes,yes,question: is this an outdoor recreational area? answer: yes,True
N-05,normal,vehicles,easy,000000174482.jpg,Is there a bicycle in this image?,yes,yes,question: is there a bicycle in this image? answer: yes,True
N-06,normal,indoor,easy,000000403385.jpg,Is this a bathroom?,yes,yes,question: is this a bathroom? answer: yes,True
N-07,normal,indoor,easy,000000006818.jpg,Is there a toilet in this image?,yes,yes,question: is there a toilet in this image? answer: yes,True
N-08,normal,vehicles,easy,000000480985.jpg,Is there a motorcycle in this image?,yes,yes,question: is there a motorcycle in this image? answer: yes,True
N-09,normal,indoor,easy,000000458054.jpg,Are there multiple toilets in this image?,yes,yes,question: are there multiple toilets in this image? answer: yes,True
N-10,normal,vehicles,easy,000000017627.jpg,Are there cars in this image?,yes,yes,question: are there cars in this image? answer: yes,True
N-11,normal,nature,easy,000000019042.jpg,Is there water in this image?,yes,yes,question: is there water in this image? answer: yes,True
N-12,normal,people,easy,000000494869.jpg,Is there a baby in this image?,yes,yes,question: is there a baby in this image? answer: yes,True
N-13,normal,food,easy,000000109798.jpg,Is there a plate in this image?,yes,yes,question: is there a plate in this image? answer: yes,True
N-14,normal,sports,easy,000000196141.jpg,Is there a person in this image?,yes,yes,question: is there a person in this image? answer: yes,True
N-15,normal,sports,easy,000000033759.jpg,Is there a child in this image?,yes,yes,question: is there a child in this image? answer: yes,True
N-16,normal,people,easy,000000459153.jpg,Is there a person sitting in this image?,yes,no,question: is there a person sitting in this image? answer: no,False
N-17,normal,urban,easy,000000226111.jpg,Is there a sign in this image?,yes,no,question: is there a sign in this image? answer: no,False
N-18,normal,animals,easy,000000077595.jpg,Is there a cat in this image?,yes,yes,question: is there a cat in this image? answer: yes,True
N-19,normal,vehicles,easy,000000348881.jpg,Is there an airplane in this image?,yes,yes,question: is there an airplane in this image? answer: yes,True
N-20,normal,animals,easy,000000046804.jpg,Is there a sheep in this image?,yes,yes,question: is there a sheep in this image? answer: yes,True
N-21,normal,people,easy,000000022935.jpg,Is the person wearing a uniform?,yes,yes,question: is the person wearing a uniform? answer: yes,True
N-22,normal,food,easy,000000045550.jpg,Is there food in this image?,yes,yes,question: is there food in this image? answer: yes,True
N-23,normal,vehicles,easy,000000579818.jpg,Is there a train in this image?,yes,yes,question: is there a train in this image? answer: yes,True
N-24,normal,indoor,easy,000000397133.jpg,Is this scene indoors?,yes,yes,question: is this scene indoors? answer: yes,True
N-25,normal,indoor,easy,000000037777.jpg,Is this a kitchen?,yes,yes,"question: is this a kitchen? answer: yes, it is a kitchen",True
N-26,normal,outdoor,easy,000000252219.jpg,Is this scene outdoors?,yes,yes,question: is this scene outdoors? answer: yes,True
N-27,normal,outdoor,easy,000000087038.jpg,Is this image taken outdoors?,yes,yes,question: is this image taken outdoors? answer: yes,True
N-28,normal,vehicles,easy,000000174482.jpg,Is the bicycle on a pavement or sidewalk?,yes,it,question: is the bicycle on a pavement or sidewalk? answer: it is on a pavement,False
N-29,normal,indoor,easy,000000403385.jpg,Is there a sink in this image?,yes,yes,question: is there a sink in this image? answer: yes,True
N-30,normal,vehicles,easy,000000480985.jpg,Is the motorcycle stationary and not moving?,yes,yes,question: is the motorcycle stationary and not moving? answer: yes,True
N-31,normal,urban,easy,000000017627.jpg,Is this a street scene?,yes,yes,question: is this a street scene? answer: yes,True
N-32,normal,nature,easy,000000019042.jpg,Are there rocks visible in this image?,yes,yes,question: are there rocks visible in this image? answer: yes,True
N-33,normal,people,easy,000000494869.jpg,Is there more than one person in this image?,yes,yes,question: is there more than one person in this image? answer: yes,True
N-34,normal,sports,easy,000000196141.jpg,Is this a sports scene?,yes,yes,question: is this a sports scene? answer: yes,True
N-35,normal,sports,easy,000000033759.jpg,Is the person in this image swinging something?,yes,yes,"question: is the person in this image swinging something? answer: yes, a baseball bat",True
N-36,normal,people,easy,000000459153.jpg,Is there a book in this image?,yes,no,question: is there a book in this image? answer: no,False
N-37,normal,animals,easy,000000077595.jpg,Is the cat lying down?,yes,yes,question: is the cat lying down? answer: yes,True
N-38,normal,vehicles,easy,000000348881.jpg,Is this image taken at an airport?,yes,yes,question: is this image taken at an airport? answer: yes,True
N-39,normal,animals,easy,000000046804.jpg,Is this animal in an outdoor field?,yes,yes,question: is this animal in an outdoor field? answer: yes,True
N-40,normal,people,easy,000000022935.jpg,Is the uniform blue?,yes,yes,question: is the uniform blue? answer: yes,True
N-41,normal,food,easy,000000045550.jpg,Is the man holding something?,yes,yes,"question: is the man holding something? answer: yes, a plate of food",True
N-42,normal,vehicles,easy,000000579818.jpg,Is this image taken outdoors?,yes,yes,question: is this image taken outdoors? answer: yes,True
N-43,normal,indoor,easy,000000006818.jpg,Is this image taken indoors?,yes,yes,question: is this image taken indoors? answer: yes,True
